Designator,Mid X,Mid Y,Rotation,Layer
U228,541.4,-333.2,90.0,top
U229,552.6,-277.2,270.0,top
U23,586.2,-624.4,90.0,top
U230,552.6,-288.4,270.0,top
U231,552.6,-299.6,270.0,top
U232,552.6,-310.8,270.0,top
U233,552.6,-322.0,270.0,top
U234,552.6,-333.2,270.0,top
U235,563.8,-277.2,90.0,top
U236,563.8,-288.4,90.0,top
U237,563.8,-299.6,90.0,top
U238,563.8,-310.8,90.0,top
U239,563.8,-322.0,90.0,top
U24,586.2,-613.2,90.0,top
U240,563.8,-333.2,90.0,top
U241,619.8,-534.8,270.0,top
U242,619.8,-523.6,270.0,top
U243,619.8,-512.4,270.0,top
U244,619.8,-501.2,270.0,top
U245,619.8,-490.0,270.0,top
U246,619.8,-478.8,270.0,top
U247,608.6,-534.8,90.0,top
U248,608.6,-523.6,90.0,top
U249,608.6,-512.4,90.0,top
U25,575.0,-669.2,270.0,top
U250,608.6,-501.2,90.0,top
U251,608.6,-490.0,90.0,top
U252,608.6,-478.8,90.0,top
U253,597.4,-534.8,270.0,top
U254,597.4,-523.6,270.0,top
U255,597.4,-512.4,270.0,top
U256,597.4,-501.2,270.0,top
U257,597.4,-490.0,270.0,top
U258,597.4,-478.8,270.0,top
U259,586.2,-534.8,90.0,top
U26,575.0,-658.0,270.0,top
U260,586.2,-523.6,90.0,top
U261,586.2,-512.4,90.0,top
U262,586.2,-501.2,90.0,top
U263,586.2,-490.0,90.0,top
U264,586.2,-478.8,90.0,top
U265,575.0,-534.8,270.0,top
U266,575.0,-523.6,270.0,top
U267,575.0,-512.4,270.0,top
U268,575.0,-501.2,270.0,top
U269,575.0,-490.0,270.0,top
U27,575.0,-646.8,270.0,top
U270,575.0,-478.8,270.0,top
U271,451.8,-534.8,270.0,top
U272,451.8,-523.6,270.0,top
U273,451.8,-512.4,270.0,top
U274,451.8,-501.2,270.0,top
U275,451.8,-490.0,270.0,top
U276,451.8,-478.8,270.0,top
U277,440.6,-534.8,90.0,top
U278,440.6,-523.6,90.0,top
U279,440.6,-512.4,90.0,top
U28,575.0,-635.6,270.0,top
U280,440.6,-501.2,90.0,top
U281,440.6,-490.0,90.0,top
U282,440.6,-478.8,90.0,top
U283,429.4,-534.8,270.0,top
U284,429.4,-523.600001,270.0,top
U285,429.4,-512.4,270.0,top
